model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoost,0.8761388064284983,0.8848,accuracy,0.08988046646118164,0.026454448699951172,2.499981164932251,0.08988046646118164,0.026454448699951172,2.499981164932251,1,True,9
WeightedEnsemble_L2,0.8761388064284983,0.8848,accuracy,0.09227633476257324,0.027294397354125977,2.625483751296997,0.0023958683013916016,0.0008399486541748047,0.1255025863647461,2,True,12
CatBoost,0.8756269833145665,0.8836,accuracy,0.06560087203979492,0.009954452514648438,33.29940891265869,0.06560087203979492,0.009954452514648438,33.29940891265869,1,True,5
LightGBMLarge,0.8754222540689938,0.8824,accuracy,0.2113785743713379,0.05249667167663574,1.980220079421997,0.2113785743713379,0.05249667167663574,1.980220079421997,1,True,11
LightGBM,0.8734773262360528,0.8824,accuracy,0.2049088478088379,0.05984234809875488,1.6085755825042725,0.2049088478088379,0.05984234809875488,1.6085755825042725,1,True,2
LightGBMXT,0.8714300337803256,0.8792,accuracy,0.3505120277404785,0.08809399604797363,6.5725178718566895,0.3505120277404785,0.08809399604797363,6.5725178718566895,1,True,1
RandomForestGini,0.8593510082915344,0.8612,accuracy,0.7857656478881836,0.1849815845489502,11.62404751777649,0.7857656478881836,0.1849815845489502,11.62404751777649,1,True,3
NeuralNetFastAI,0.8591462790459617,0.8612,accuracy,0.17419958114624023,0.037276268005371094,46.70547103881836,0.17419958114624023,0.037276268005371094,46.70547103881836,1,True,8
NeuralNetTorch,0.8586344559320299,0.8576,accuracy,0.06173133850097656,0.023223400115966797,74.67521953582764,0.06173133850097656,0.023223400115966797,74.67521953582764,1,True,10
RandomForestEntr,0.8576108097041663,0.8584,accuracy,0.9023022651672363,0.36037635803222656,12.971771717071533,0.9023022651672363,0.36037635803222656,12.971771717071533,1,True,4
ExtraTreesGini,0.8534138601699253,0.8528,accuracy,1.1906757354736328,0.2028942108154297,7.159221410751343,1.1906757354736328,0.2028942108154297,7.159221410751343,1,True,6
ExtraTreesEntr,0.8506500153546934,0.8524,accuracy,1.029127836227417,0.20470309257507324,8.401560544967651,1.029127836227417,0.20470309257507324,8.401560544967651,1,True,7
